brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
BMW,X5,2019,58895,Black,APPLE CARPLAY | NAVI | PANO | CAMERA,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,89102,https://www.carproof.com/order?ref=kijiji&vin=5UXCR6C56KLK80634,5UXCR6C56KLK80634,,"2430 Finch Ave West,, North York, ON, M9M 2E1"
Honda,CR-V,2006,2500,Grey,Awd,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,370000,,,,"Martin Grove Road, Etobicoke, ON"
Other,Other,2022,41863,White,Comfortline,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,0,,,,"3450 Sheppard Avenue East, Toronto, ON, M1T 3K4"
Volvo,XC60,2015,20995,Grey,T5 Premier,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,154370,,,,"Vaughan, ON L4J 0H2"
Nissan,370Z,2015,47777,Red,NISMO TECH 350HP |NAV|CAMERA|6SPEED.MANUAL|15KM,Used,Coupe (2 door),Rear-wheel drive (RWD),Manual,Gasoline,15200,https://www.carproof.com/order?ref=kijiji&vin=JN1AZ4EH1FM440359,JN1AZ4EH1FM440359,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
Toyota,Corolla,2003,2550,Silver,ce,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,2999,,,,"North York, ON M3J"
Chevrolet,Colorado,2021,45000,White,WT,Used,Pickup Truck,Rear-wheel drive (RWD),Automatic,Gasoline,15000,,,,"Toronto, ON, M6K, CA"
Mercedes-Benz,CLS-Class,2008,12000,,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,212000,,,,"Woodbine Ave, Markham, ON L3R 3V7, Canada"
Mazda,Mazda3 Sport,2016,15850,Blue,"GX Hatchback, 6-Speed, Reverse Camera, Cruise Control, Keyless Entry & Much More!",Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,92000,https://www.carproof.com/order?ref=kijiji&vin=3MZBM1K74GM288039,3MZBM1K74GM288039,,"5055 Whitelaw Road, Guelph, ON, N1H 6J4"
BMW,M5,2008,69800,White,"500 HP, M AERODYNAMICS, NAVI, PARK DISTANCE",Used,Sedan,Rear-wheel drive (RWD),Automatic,Other,27999,https://www.carproof.com/order?ref=kijiji&vin=WBSNB93598CX10383,WBSNB93598CX10383,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Mercedes-Benz,E-Class,2020,159800,White,"AMG E63 S, 603 HP, CARBON FIBER PKG, NAV, PANO",Used,Wagon,All-wheel drive (AWD),Automatic,Other,11000,https://www.carproof.com/order?ref=kijiji&vin=WDDZH8KB3LA752017,WDDZH8KB3LA752017,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Toyota,4Runner,2020,58088,White,Other,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,26285,,,,"3300 Steeles Avenue East, Markham, ON, L3R 1G9"
Audi,Q5,2013,18800,Black,2.0L Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,125000,https://www.carproof.com/order?ref=kijiji&vin=wa1mfcfp9da004225,wa1mfcfp9da004225,,"Blackwater Crescent, Toronto, ON M1B 1L5, Canada"
Jaguar,XF,2010,9999,Blue,R,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,208476,,,,"Keele Street, North York, ON"
BMW,X5,2019,58895,Black,APPLE CARPLAY | NAVI | PANO | CAMERA,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,89102,https://www.carproof.com/order?ref=kijiji&vin=5UXCR6C56KLK80634,5UXCR6C56KLK80634,,"2430 Finch Ave West,, North York, ON, M9M 2E1"
Honda,CR-V,2006,2500,Grey,Awd,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,370000,,,,"Martin Grove Road, Etobicoke, ON"
Other,Other,2022,41863,White,Comfortline,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,0,,,,"3450 Sheppard Avenue East, Toronto, ON, M1T 3K4"
Volvo,XC60,2015,20995,Grey,T5 Premier,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,154370,,,,"Vaughan, ON L4J 0H2"
Nissan,370Z,2015,47777,Red,NISMO TECH 350HP |NAV|CAMERA|6SPEED.MANUAL|15KM,Used,Coupe (2 door),Rear-wheel drive (RWD),Manual,Gasoline,15200,https://www.carproof.com/order?ref=kijiji&vin=JN1AZ4EH1FM440359,JN1AZ4EH1FM440359,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
Toyota,Corolla,2003,2550,Silver,ce,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,2999,,,,"North York, ON M3J"
Chevrolet,Colorado,2021,45000,White,WT,Used,Pickup Truck,Rear-wheel drive (RWD),Automatic,Gasoline,15000,,,,"Toronto, ON, M6K, CA"
Land Rover,Range Rover Velar,2018,64995,White,P380 S|NAV|MERIDIAN|PANOROOF|TERRAINMODES|CARPLAY,Used,"SUV, Crossover",4 x 4,Automatic,Other,70446,https://www.carproof.com/order?ref=kijiji&vin=SALYB2RVXJA718716,SALYB2RVXJA718716,,"100 Toro Road, North York, ON, M3J 2A9"
Toyota,Camry,2012,11999,White,"XLE, Leather, Sunroof, Navigation",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,192951,https://www.carproof.com/order?ref=kijiji&vin=4T1BF1FK6C0572446,4T1BF1FK6C0572446,,"3675 Keele Street, Toronto, ON, M3J 1M6"
Ram,1500,2022,59415,Blue,SLT,New,Pickup Truck,Other,Automatic,Other,0,,,,"4960 Sheppard Avenue East, Scarborough, ON, M1S 4A7"
Audi,Q5,2013,18800,Black,2.0L Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,125000,https://www.carproof.com/order?ref=kijiji&vin=wa1mfcfp9da004225,wa1mfcfp9da004225,,"Blackwater Crescent, Toronto, ON M1B 1L5, Canada"
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
Toyota,Corolla,2003,2550,Silver,ce,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,2999,,,,"North York, ON M3J"
Chevrolet,Colorado,2021,45000,White,WT,Used,Pickup Truck,Rear-wheel drive (RWD),Automatic,Gasoline,15000,,,,"Toronto, ON, M6K, CA"
Acura,TSX,2009,7499,Grey,W/Premium Pkg,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,182000,https://www.carproof.com/order?ref=kijiji&vin=JH4CU26659C802191,JH4CU26659C802191,,"4040 Sheppard Ave E, Scarborough, ON, M1S 1S6"
Mercedes-Benz,CLA,2018,32490,Red,"250 4Matic W/ Premium Package, CarPlay & Android Auto",Used,Sedan,All-wheel drive (AWD),Automatic,Other,37391,,,,"12 Goldthorne, Etobicoke, ON, M8Z5S8"
Chevrolet,Corvette,2020,119800,Blue,"Stingray, 490HP, RED CALIPERS, PADDLE SHIFTERS",Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Other,12006,https://www.carproof.com/order?ref=kijiji&vin=1G1Y62D42L5108887,1G1Y62D42L5108887,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Volkswagen,Jetta,2019,28995,White,GLI DSG,Used,Sedan,Front-wheel drive (FWD),,Other,28330,https://www.carproof.com/order?ref=kijiji&vin=3VW6T7BU8KM269936,3VW6T7BU8KM269936,,"4032b Finch Avenue East, Scarborough, ON, M1S 3T6"
Ram,1500,2014,13979,Black,4X4 CREW CAB CLEAN!!! $13979,Used,Pickup Truck,4 x 4,Automatic,Other,269924,https://www.carproof.com/order?ref=kijiji&vin=1C6RR7KG2ES124399,1C6RR7KG2ES124399,,"5455 Steeles Avenue West, North York, ON, M9L 1S7"
Audi,Q5,2013,18800,Black,2.0L Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,125000,https://www.carproof.com/order?ref=kijiji&vin=wa1mfcfp9da004225,wa1mfcfp9da004225,,"Blackwater Crescent, Toronto, ON M1B 1L5, Canada"
Jaguar,XF,2010,9999,Blue,R,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,208476,,,,"Keele Street, North York, ON"
BMW,X5,2019,58895,Black,APPLE CARPLAY | NAVI | PANO | CAMERA,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,89102,https://www.carproof.com/order?ref=kijiji&vin=5UXCR6C56KLK80634,5UXCR6C56KLK80634,,"2430 Finch Ave West,, North York, ON, M9M 2E1"
